time,open,high,low,close,tick_volume,spread,real_volume
2025-08-04 18:41:00,1.15673,1.15678,1.1565699999999999,1.15667,57,9,0
2025-08-04 18:42:00,1.15668,1.15679,1.15666,1.15678,26,9,0
2025-08-04 18:43:00,1.15678,1.15684,1.15677,1.15677,19,9,0
2025-08-04 18:44:00,1.15678,1.15693,1.15675,1.15693,36,9,0
2025-08-04 18:45:00,1.15693,1.15698,1.15684,1.15693,47,9,0
2025-08-04 18:46:00,1.15693,1.15698,1.1569099999999999,1.15692,15,9,0
2025-08-04 18:47:00,1.15692,1.15703,1.15692,1.15698,28,9,0
2025-08-04 18:48:00,1.15698,1.15703,1.15695,1.15697,17,9,0
2025-08-04 18:49:00,1.15698,1.15699,1.15689,1.15693,28,9,0
2025-08-04 18:50:00,1.15694,1.15697,1.15687,1.15689,35,9,0
2025-08-04 18:51:00,1.15689,1.15697,1.1568,1.1568,42,9,0
2025-08-04 18:52:00,1.1568,1.15683,1.15671,1.15679,30,9,0
2025-08-04 18:53:00,1.15679,1.1568,1.15661,1.15661,46,9,0
2025-08-04 18:54:00,1.15662,1.15668,1.15652,1.15659,25,9,0
2025-08-04 18:55:00,1.15659,1.1567,1.15655,1.15668,35,9,0
2025-08-04 18:56:00,1.15667,1.15675,1.15648,1.15649,45,9,0
2025-08-04 18:57:00,1.15651,1.15675,1.15651,1.15663,63,9,0
2025-08-04 18:58:00,1.15662,1.15667,1.1565,1.15656,47,9,0
2025-08-04 18:59:00,1.15655,1.1565699999999999,1.15637,1.15651,60,9,0
2025-08-04 19:00:00,1.1565,1.15688,1.15649,1.15679,74,9,0
2025-08-04 19:01:00,1.15679,1.15686,1.15673,1.15675,34,9,0
2025-08-04 19:02:00,1.15675,1.15684,1.15664,1.15672,43,9,0
2025-08-04 19:03:00,1.1567,1.15675,1.15665,1.15672,17,9,0
2025-08-04 19:04:00,1.15672,1.15678,1.15655,1.15655,38,9,0
2025-08-04 19:05:00,1.15653,1.15658,1.15637,1.15658,40,9,0
2025-08-04 19:06:00,1.15658,1.15674,1.15658,1.15669,39,9,0
2025-08-04 19:07:00,1.15669,1.15698,1.15669,1.15692,36,9,0
2025-08-04 19:08:00,1.15692,1.15698,1.15685,1.15697,30,9,0
2025-08-04 19:09:00,1.15696,1.15706,1.15694,1.15695,27,9,0
2025-08-04 19:10:00,1.15695,1.15696,1.15686,1.15695,23,9,0
2025-08-04 19:11:00,1.15695,1.15699,1.15688,1.15697,28,9,0
2025-08-04 19:12:00,1.15697,1.15698,1.1568,1.1568100000000001,27,9,0
2025-08-04 19:13:00,1.1568100000000001,1.15687,1.15674,1.15675,23,9,0
2025-08-04 19:14:00,1.15675,1.15677,1.15663,1.15675,29,9,0
2025-08-04 19:15:00,1.15674,1.15676,1.1567,1.15671,20,9,0
